一,UM
二,DOIS
三,TRÊS
四,QUATRO
五,CINCO
六,SEIS
七,SETE
八,OITO
九,NOVE
十,DEZ
口,BOCA
日,SOL
月,LUA
田,ARROZAL
目,OLHO
古,VELHO
吾,EU
冒,RISCO
朋,COMPANHIA
明,BRILHANTE
唱,CÂNTICO
晶,CRISTAL
品,BENS
呂,ESPINHA
昌,PRÓSPERO
早,CEDO
旭,SOL NASCENTE
世,GERAÇÃO
胃,ESTÔMAGO
旦,AMANHECER
胆,VESÍCULA BILIAL
亘,INTERVALO
凹,CÔNCAVO
凸,CONVEXO
旧,VELHOS TEMPOS
自,SI
白,BRANCO
百,CEM
中,DENTRO
千,MIL
舌,LÍNGUA
升,CAIXA DE MEDIDA
昇,ERGUER
丸,REDONDO
寸,MEDIDA
肘,COTOVELO
専,ESPECIALIDADE
博,DR
占,ADIVINHAÇÃO
上,EM CIMA
下,EMBAIXO
卓,EMINENTE
朝,MANHÃ
嘲,ZOMBARIA
只,APENAS
貝,CONCHA
唄,MÚSICA POP
貞,VERTICAL
員,EMPREGADO
貼,POSTAGEM
見,VER
児,RECÉM-NASCIDO
元,ORIGEM
頁,PÁGINA
頑,TEIMOSO
凡,MEDÍOCRE
負,DERROTA
万,DEZ MIL
句,FRASE
肌,TEXTURA
旬,DECAMERÃO
勺,COLHERÃO
的,NA MIRA
首,PESCOÇO
乙,SEGUNDO
乱,REBELIÃO
直,DIRETO
具,FERRAMENTA
真,VERDADE
工,OFÍCIO
左,ESQUERDA
右,DIREITA
有,POSSE
賄,SUBORNO
貢,TRIBUTO
項,PARÁGRAFO
刀,ESPADA
刃,LÂMINA
切,CORTAR
召,SEDUZIR
昭,BRILHO
則,REGRA
副,VICE
別,SEPARAR
丁,RUA
町,CIDADE
可,PODER
頂,ENCUCAR
子,CRIANÇA
孔,CAVIDADE
了,COMPLETO
女,MULHER
好,GOSTAR
如,TIPO
母,MÃE
貫,PERFURAR
兄,IRMÃO MAIOR
呪,AMALDIÇOAR
克,SUPERAR
小,PEQUENO
少,POUCO
大,GRANDE
多,MUITO
夕,NOITE
汐,ANOITECER
外,FORA
名,NOME
石,PEDRA
肖,PARECER
硝,NITRATO
砕,ESMAGAR
砂,AREIA
妬,CIÚMES
削,PLANO
光,LUZ
太,GORDO
器,UTENSÍLIO
臭,FEDOR
嗅,CHEIRAR
妙,EXÓTICO
省,FOCO
厚,ESPESSO
奇,ESTRANHO
川,CORRENTE DO RIO
州,ESTADO
順,OBEDECER
水,ÁGUA
氷,SINCELO
永,ETERNO
泉,FONTE D'ÁGUA
腺,GLÂNDULA
原,PRADO
願,PETIÇÃO
泳,NADAR
沼,PÂNTANO
沖,MAR ABERTO
汎,PAN-
江,RIACHO
汰,LIMPEZA
汁,SOPA
沙,GRÃOS
潮,MARÉ
源,FONTE
活,LÍVIDO
消,APAGAR
況,É CLARO
河,RIO
泊,PERNOITE
湖,LAGO
測,CONCEBER
土,TERRA
吐,CUSPIR
圧,PRESSÃO
埼,CAPA
垣,CERCA
填,EMBUTIDO
圭,JADE POLIDA
封,SELO
涯,HORIZONTE
寺,TEMPLO
時,TEMPO
均,NÍVEL
火,FOGO
炎,INFLAMAÇÃO
煩,ANSIEDADE
淡,FINO
灯,LÂMPADA
畑,FAZENDA
災,CATÁSTROFE
灰,CINZAS
点,PONTO
照,ILUMINAR
魚,PEIXE
漁,PESCAR (REDE)
里,RIN
黒,PRETO
墨,TINTA PRETA
鯉,CARPA
量,QUANTIDADE
厘,RI
埋,ENTERRAR
同,MESMO
洞,TOCA
胴,TRONCO
向,ALÉM
尚,ESTIMA
字,CARACTERE
守,GUARDAR
完,PERFEITO
宣,PROCLAMAR
宵,MADRUGADA
安,RELAXAR
宴,BANQUETE
寄,APROXIMAR
富,RIQUEZA
貯,POUPANÇA
木,ÁRVORE
林,BOSQUE
森,FLORESTA
桂,OLAIA
柏,CARVALHO
枠,QUADRO
梢,COPAS
棚,ARMÁRIO
杏,DAMASCO
桐,KIRI
植,PLANTA
椅,CADEIRA
